response_id,user_id,puzzle_id,puzzle_type,puzzle_number,difficulty,preference,creativity,fairness,overall_feedback,submitted_at
U7d3aY3QlorwPzLJgGLg,s0LmShPlWgfdxatk2X8dG5SV4193,puzzle_01_nyt,nyt,1,4,4,5,5,,2026-05-11T21:19:38.014Z
j0bjMSuopmvGnu5fDoj0,IoFZYFPX6Tb8dIskRReCPtnfppL2,puzzle_01_nyt,nyt,1,5,3,2,1,,2026-05-11T21:24:01.335Z
BQEV4MI1ZuDgpYOpbH9E,2Oi1haPVkAhdYQIeHkcteb1asfR2,puzzle_01_nyt,nyt,1,5,5,5,2,,2026-05-11T21:27:53.571Z
EveajZmhlxrb3wCKAds5,3aXdWLqFyjhftPtJNuJGGQcJukO2,puzzle_01_nyt,nyt,1,4,4,4,4,,2026-05-11T21:29:18.838Z
QkVB0B7Wm4rthx4sSpQk,5XRMoZX2Iph5pHx2WDOUwrBfQ693,puzzle_01_nyt,nyt,1,5,3,5,3,,2026-05-11T21:29:19.172Z
xjI7Tk8s3B6L56gUtTGw,jmlWwkTtcOgdsVkSyZq21rkKMOj1,puzzle_01_nyt,nyt,1,4,4,4,4,,2026-05-11T21:30:46.987Z
diAe9VOuOEBhrFCHlcVy,mE3XUK5R6PfHnLaKzhP7dhbDnm12,puzzle_01_nyt,nyt,1,5,5,5,4,,2026-05-11T21:36:03.574Z
l21MW6WjPXYkt0gAFftw,25OoGYqcjhd3FtT40HEMSddkPDk2,puzzle_01_nyt,nyt,1,5,3,3,3,,2026-05-11T21:37:53.744Z
0AptqydNlMZpE4YSdHJm,3kmB6snsIgX6CG7I94Y416IdCmA3,puzzle_01_nyt,nyt,1,5,3,3,2,,2026-05-11T21:39:22.453Z
SfVhph3QSXn6ux5IYEyt,PxyPomBiUpSZ6iyzxU2oFwPJ8lg1,puzzle_01_nyt,nyt,1,5,3,4,2,,2026-05-11T21:39:48.255Z
IYT2Ppm3G2IAbXMGorAl,urJbMKL1bTYjSrXWA7Ic0Tns5YM2,puzzle_01_nyt,nyt,1,4,2,3,4,,2026-05-11T21:44:12.650Z
EAjNrRXDqlJMbomGS2Iv,Hiubwh8wFNUpKIVpPqSMk0UF7uV2,puzzle_01_nyt,nyt,1,4,3,3,2,"I felt like there were also other good groupings of the words, so I found it quite difficult. I feel like I would have needed a hint to get the correct answers. ",2026-05-11T21:46:32.985Z
Pe2u3HNuaYRxIoljGedw,rkoDKE6kbvTxtsiZu79z7e4Jh5y1,puzzle_01_nyt,nyt,1,4,3,4,4,,2026-05-11T21:52:39.768Z
AobkaUQryu3rKAupcy05,zJIypa3r69g5dCZsMT7WzNrBJkT2,puzzle_01_nyt,nyt,1,4,2,2,2,,2026-05-11T21:55:31.246Z
TqhKpA7xIDqqovwGnYqc,KzokkTzbPPRws10gHXXsvHjXpkn2,puzzle_01_nyt,nyt,1,5,2,2,1,,2026-05-11T21:59:12.367Z
